"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingEmail__c","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CorporateLocations__c","Custom_Account_Picklist__c","Description","Fax","FranchiseLocations__c","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","TaxID__c","Test_Field__c","Type","Website","blng__BillToContact__c","blng__CustomerProfileId__c","blng__DefaultPaymentType__c","ccrz__CustomField1__c","ccrz__CustomField2__c","ccrz__DataId__c","ccrz__PreventAddrBookSave__c","ccrz__PreventNewAddrCheckout__c","ccrz__PreventNewBillAddrCO__c","ccrz__SourceSystem__c","ccrz__TaxExemptAccount__c","ccrz__UsedByCloudcraze__c"
014413e1-8589-40bc-baa7-3deb5db84c84,"#N/A",1.03355E11,Palo Alto,United States,"#N/A","#N/A","#N/A","#N/A",94304-1126,CA,1501 Page Mill Rd,"#N/A","#N/A",Kumatsu Motors is the leader in Automotive in Palo Alto,"#N/A","#N/A",Automotive,false,"#N/A",Oodoo,"#N/A","#N/A",1.650.857.1501,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Palo Alto,US,"#N/A","#N/A","#N/A",94303-0890,CA,P.O. BOX 10301,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
02790e5c-867a-4d60-b207-f5f0dfab9d1d,"#N/A",5.6771552999E10,Boise,United States,"#N/A","#N/A","#N/A","#N/A",83706-3999,ID,250 E Parkcenter Blvd,"#N/A","#N/A",Spruik Communications is the leader in Communications in Boise,"#N/A","#N/A",Communications,false,"#N/A",Skyvu,"#N/A","#N/A",1.208.395.6200,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
02d09128-8e55-478d-862e-f9a501703068,"#N/A",7.40417719E8,Fairfield,Australia,"#N/A","#N/A","#N/A","#N/A",4103,QLD,40 Archibald St,"#N/A","#N/A",Mooby Corp is the leader in Chemicals in Fairfield,"#N/A","#N/A",Chemicals,false,"#N/A",Skalith,"#N/A","#N/A",(07) 8503 6141,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Fairfield,Australia,"#N/A","#N/A","#N/A",4103,QLD,40 Archibald St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
059ae66a-ad74-4874-b3a7-319fa8e908cb,"#N/A",7.0074E10,New Brunswick,United States,"#N/A","#N/A","#N/A","#N/A",08933-0002,NJ,1 Johnson and Johnson Plz,"#N/A","#N/A",Budgetworks is the leader in Financial Services in New Brunswick,"#N/A","#N/A",Financial Services,false,"#N/A",Blognation,"#N/A","#N/A",1.732.524.0400,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Neenah,US,"#N/A","#N/A","#N/A",54957-0767,WI,P.O. BOX 767,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
05ad14ed-a4b3-4b05-a662-ba90845e0c72,"#N/A",2.3697E10,New York,United States,"#N/A","#N/A","#N/A","#N/A",10023-5860,NY,60 Columbus Cir FL 17,"#N/A","#N/A",Thrift Bank is the leader in Finance in New York,"#N/A","#N/A",Finance,false,"#N/A",Jaxworks,"#N/A","#N/A",1.212.364.8200,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",6/10 Mount St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0615d973-7662-470c-804f-9e8a845c344e,"#N/A",7.3908E10,New York,United States,"#N/A","#N/A","#N/A","#N/A",10017-5592,NY,120 Park Ave FL 6,"#N/A","#N/A",Leza College of Engineering is the leader in Higher Education in New York,"#N/A","#N/A",Higher Education,false,"#N/A",Wikizz,"#N/A","#N/A",1.917.663.2000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
06772fb8-581c-442b-af31-c8000c725cb9,"#N/A",3.02983857E8,Bateman,Australia,"#N/A","#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,"#N/A","#N/A",North Central Positronics is the leader in Energy in Bateman,"#N/A","#N/A",Energy,false,"#N/A",Kayveo,"#N/A","#N/A",(08) 7367 7550,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Bateman,Australia,"#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
07f02b8a-4e74-40b8-886f-dde2dc55b552,"#N/A",5.0E7,Vancouver,Canada,"#N/A","#N/A","#N/A","#N/A","#N/A",BC,BC V6T 1A7,"#N/A","#N/A",Spade and Archer is the leader in Services in BC,"#N/A","#N/A",Services,false,"#N/A",Twitterwire,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
07ffc794-3916-4ba1-8808-14e099ffb6d1,"#N/A",2.70279E10,Houston,United States,"#N/A","#N/A","#N/A","#N/A",77002-5432,TX,1100 Louisiana St FL 10,"#N/A","#N/A",Sylvia Birungi Hospital is the leader in Healthcare in Houston,"#N/A","#N/A",Healthcare,false,"#N/A",Vipe,"#N/A","#N/A",1.713.381.6500,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Houston,US,"#N/A","#N/A","#N/A",77210-4324,TX,P.O. BOX 4324,"#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
081fa47f-e7b5-436b-b3b1-90c25c76bc49,"#N/A",7.6279E10,Cincinnati,United States,"#N/A","#N/A","#N/A","#N/A",45202-3393,OH,1 Procter and Gamble Plz,"#N/A","#N/A",ADM Goods is the leader in Consumer Goods in Cincinnati,"#N/A","#N/A",Consumer Goods,false,"#N/A",Voonix,"#N/A","#N/A",1.513.983.1100,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Cincinnati,US,"#N/A","#N/A","#N/A",45201-0599,OH,P.O. BOX 599,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
