"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
00083227-4881-474b-91ad-6f77fc887e02,8f9c068e-835d-424f-9d37-1388be4a7d0a,34350.0,2024-01-19,"#N/A","#N/A",Pipeline,false,"#N/A",Eadel - Cross-sell,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0015d9ac-149b-46eb-9acd-4ed4864474d3,641e8a6b-421a-49ac-9b2f-584ff0426f81,72395.0,2023-06-22,"#N/A","#N/A",Omitted,false,"#N/A",Kanoodle - Initial Sale,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0069ceb1-bec9-45d4-a837-04463f94ae40,210a7e16-1f76-4a98-bdd4-88fc7c26bd8b,11250.0,2024-01-19,"#N/A","#N/A",Pipeline,false,"#N/A",Yakidoo - Cross-sell,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
00aeae71-03ba-4307-a653-839972556cde,d3053ca7-894e-4b3d-b4ea-1974b5686046,72395.0,2024-01-11,"#N/A","#N/A",Pipeline,false,"#N/A",Zoomlounge - Initial Sale,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
00c392f1-6a8c-4902-accc-84372cce571c,bf059387-8284-445e-bd00-0767cc9f2115,72395.0,2024-01-11,"#N/A","#N/A",Pipeline,false,"#N/A",Buzzshare - Initial Sale,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
00daedec-21e9-45b5-b71d-5a6f81acf86a,9f0e8165-a54e-4baa-963a-f32374c91307,11550.0,2024-01-19,"#N/A","#N/A",Pipeline,false,"#N/A",Trudoo - Cross-sell,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
00e6b03d-e7ad-49e0-9496-d1c4e5d5f833,6abf6df4-3f79-49a2-8757-df4efcb9167d,50000.0,2021-04-24,"#N/A",Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.,Closed,false,Advertisement,salesforce.com - 500 Widgets,Closed!,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,Existing Business,"#N/A","#N/A",false,"#N/A"
0141b33e-a960-4790-9428-cd0e6fd73609,acdb972f-0fea-4a9d-85d0-1940db7fa5f3,32395.00000002,2024-01-03,"#N/A","#N/A",Closed,false,"#N/A",Topiclounge - Secondary Sale,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01f46762-6188-415f-8d4f-7a8150c347c9,a0fa5923-8383-4b45-a5c0-8512b7433db6,43185.0,2023-02-23,98869134-8c92-4224-a8e7-de672071cf87,"#N/A",Closed,false,"#N/A",Edgetag - Additional Sale,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
020b4746-5877-486b-a75a-80450929d076,1780077c-4e79-4a5e-949f-64ab5a73d3c8,100082.0,2024-03-10,"#N/A","#N/A",Pipeline,false,"#N/A",Meevee - Upsell,"#N/A",05d7fcab-5c52-4191-97cf-7373b91a6ed2,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
