"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
0307129e-208c-4c6c-8b0e-157858956818,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A",1.0,10.0,c4a6d58a-d99c-4172-b4e6-7b63d074e09d,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
04463731-75a0-4b4b-bc25-972112faea1c,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",a868b29c-d8a0-408e-a7cf-4ea290cda0ad,"#N/A","#N/A",12.0,8b1a7b31-58ea-47b7-8873-155f8e02ef9b,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
04b46b47-1d19-4748-bffb-b86185db7276,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A",1.0,10.0,a4fb7e37-2656-4057-bc04-73ec798970b8,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
0635b387-a6b6-4988-949d-cd3060fba280,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,a61388b1-564c-4a4d-86db-a837bfb7706b,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
07481190-d701-4ff0-b078-0da2264fc67a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,2ef98fa6-17f6-4825-87fb-82a9a9fb5bb6,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
0be4bb78-4f3f-4baa-b6c7-15f65f659f5a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,77d60a51-de20-4f15-9ee0-e8fcef46b53d,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
1897db9b-bc21-4ba0-992c-c2005d784278,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",ea527a6f-22ea-40a5-89e7-e1a98903088f,"#N/A","#N/A",10.0,f071d15e-423a-431b-8f49-94d775f4b234,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
2442b507-d4e0-4bca-a694-d093d2547a4f,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",a868b29c-d8a0-408e-a7cf-4ea290cda0ad,"#N/A","#N/A",12.0,a9982688-2ad9-4d36-8017-68c21d2b0ab9,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
34869383-8c85-469c-baf0-8ed96e6fb1fd,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",4bc7d87a-f96a-4589-9aed-12d6e3f6de26,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0f1254ef-5ccb-4034-a0ec-02afd8ce001a,"#N/A","#N/A",10.0,45e84014-2add-4dd2-82ed-f6c93d85bd00,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
37c94116-f62c-4078-984a-1b66c0f30525,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",98083fed-d012-42f4-ae79-954530d2df6f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",6a3cf49b-3457-4d90-bf65-444bff7acb4c,"#N/A","#N/A",11.0,ad33cd56-ee49-497f-802e-9d3f21efbac4,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
